Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	SuccessRateVal	OriSuccessRateVal	FinalDist	MaxFinalDist	MinFinalDist	FinalOriDist	MaxFinalOriDist	MinFinalOriDist	FinalOriScaledDist	MaxFinalOriScaledDist	MinFinalOriScaledDist
0	313.56104	957.72046	2140.556	-1555.8345	600.0	0.008797903	0.033850417	0.20571257	-0.23572877	24000	1.1175871e-08	31332.166	-0.01784615	-2764.6592	0.9189415	0.006914248	0.07383334	79.0	45.394384145736694	0.083333336	0.33333334	0.116387665	0.18084526	0.0070581553	0.5495885	0.9670905	0.005226235	0.5495885	0.9670905	0.005226235
1	48.03714	958.7289	2252.9644	-1505.804	600.0	29.17987	7.9871106	78.67141	7.2533937	48000	-1.8626451e-08	18495.475	-0.0200054	-1548.709	0.9151018	0.009414149	0.09941667	79.0	86.22328495979309	0.125	0.125	0.10303956	0.18058486	0.006591219	0.64799196	0.9767692	0.07567854	0.64799196	0.9767692	0.07567854
2	518.9204	964.9992	2305.6467	-1189.0785	600.0	33.624714	12.70886	84.9603	-0.16096428	72000	2.2351742e-08	27969.867	-0.022166809	-9817.483	0.9116189	0.010870702	0.10041666	79.0	124.15705251693726	0.25	0.45833334	0.110830344	0.18066657	0.022493307	0.49518275	0.98419845	0.05385585	0.49518275	0.98419845	0.05385585
3	496.05472	1065.6205	2484.9653	-1723.617	600.0	82.40158	57.98716	272.5509	-6.8302794	96000	-4.967054e-09	17179.67	-0.023857025	-3731.2703	0.91147494	0.011605277	0.11541667	79.0	161.62750029563904	0.20833333	0.33333334	0.105725266	0.18080603	0.016001722	0.59316283	0.9889809	0.10368812	0.59316283	0.9889809	0.10368812
4	424.07968	895.0605	1943.7451	-1289.3351	600.0	100.69502	108.33755	323.51376	-53.102688	120000	4.967054e-09	13379.017	-0.026757881	-2000.1771	0.9094592	0.009902961	0.13266666	79.0	200.6068732738495	0.041666668	0.33333334	0.113070704	0.18088387	0.031247918	0.5567598	0.9802879	0.003380938	0.5567598	0.9802879	0.003380938
5	394.25977	830.72974	2159.3457	-808.70435	600.0	95.92881	107.348305	331.6214	-68.10615	144000	0.0	14759.306	-0.027682014	-3215.039	0.9088185	0.0100773685	0.126125	79.0	239.55739545822144	0.083333336	0.45833334	0.13413845	0.18089347	0.033153955	0.48629484	0.8907136	0.07632032	0.48629484	0.8907136	0.07632032
6	265.50333	786.72705	1941.0352	-1195.1599	600.0	62.414616	101.29365	329.13907	-146.3204	168000	0.0	11254.981	-0.02600213	-1945.8932	0.9088529	0.01054288	0.12741667	79.0	277.9692986011505	0.083333336	0.20833333	0.11410629	0.18016194	0.022023056	0.6328579	0.94027895	0.13656174	0.6328579	0.94027895	0.13656174
7	824.10333	915.00085	2308.5452	-854.88983	600.0	99.16552	118.334625	360.93573	-82.91175	192000	-4.967054e-09	16547.795	-0.02651521	-2001.6984	0.9035285	0.011825421	0.142375	79.0	315.39734625816345	0.20833333	0.5	0.104872055	0.1805237	0.018915195	0.43322793	0.943404	0.018873068	0.43322793	0.943404	0.018873068
8	902.83075	735.7083	2371.7104	-34.701942	600.0	118.32088	127.40349	356.15536	-215.3479	216000	0.0	11527.151	-0.028097568	-1899.6738	0.898874	0.009101256	0.14191666	79.0	352.79646039009094	0.16666667	0.45833334	0.10560896	0.18021598	0.025314067	0.4078169	0.9043119	0.040844318	0.4078169	0.9043119	0.040844318
9	527.427	847.3426	2068.4402	-813.3069	600.0	128.25525	107.98356	327.56897	-62.707172	240000	7.450581e-09	10252.755	-0.025138468	-735.65234	0.8936638	0.009596334	0.14091666	79.0	389.92220664024353	0.125	0.375	0.123673044	0.17880973	0.02914325	0.52777165	0.99600965	0.02585752	0.52777165	0.99600965	0.02585752
10	336.68744	919.4629	2360.024	-1716.3428	600.0	66.22272	98.11058	330.4513	-90.13045	264000	-2.483527e-09	9219.923	-0.029615164	-1740.8271	0.8920443	0.010160594	0.15979166	79.0	427.41312050819397	0.083333336	0.29166666	0.13269009	0.18078077	0.040779267	0.5372704	0.91113406	0.009972649	0.5372704	0.91113406	0.009972649
11	826.55786	1085.8119	2489.9092	-1343.4742	600.0	92.47961	107.76883	326.02634	-94.86951	288000	-4.967054e-09	12827.379	-0.028744109	-3344.7117	0.88382167	0.010941763	0.15095833	79.0	464.755366563797	0.41666666	0.375	0.0884775	0.18075386	0.012179648	0.47767416	0.94183224	0.09074942	0.47767416	0.94183224	0.09074942
12	567.92523	869.7333	2176.1233	-1116.524	600.0	92.744576	133.80826	400.24722	-134.23006	312000	0.0	15067.036	-0.028729632	-2508.2874	0.88128847	0.010768252	0.14804167	79.0	502.5196840763092	0.20833333	0.375	0.10960028	0.17779589	0.031149257	0.5301754	0.99982816	0.04880882	0.5301754	0.99982816	0.04880882
13	653.70416	947.71216	2147.6804	-1261.0879	600.0	89.81876	119.95661	349.99207	-139.31169	336000	-4.967054e-09	10859.888	-0.03020101	-1205.7037	0.8790644	0.01114094	0.15283334	79.0	539.7011091709137	0.20833333	0.375	0.10088179	0.18074071	0.011385808	0.5239232	0.95341736	0.0022637835	0.5239232	0.95341736	0.0022637835
14	642.6817	1158.4956	2736.1638	-1528.843	600.0	120.4941	117.43681	388.87466	-105.45672	360000	1.2417634e-08	17032.623	-0.026803968	-3239.9246	0.87679195	0.0095987525	0.14608334	79.0	577.556389093399	0.29166666	0.29166666	0.10063988	0.18086442	0.0067433487	0.53249407	0.9449369	0.0091214925	0.53249407	0.9449369	0.0091214925
15	694.6119	1105.7068	2577.434	-1285.2349	600.0	120.0671	159.252	401.03363	-212.15434	384000	-4.967054e-09	14630.934	-0.031251382	-3845.011	0.87802595	0.0077955895	0.15275	79.0	621.4220039844513	0.20833333	0.5	0.12048157	0.18119797	0.025118757	0.47363237	0.968426	0.005104228	0.47363237	0.968426	0.005104228
