Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	SuccessRateVal	OriSuccessRateVal	FinalDist	MaxFinalDist	MinFinalDist	FinalOriDist	MaxFinalOriDist	MinFinalOriDist	FinalOriScaledDist	MaxFinalOriScaledDist	MinFinalOriScaledDist	FinalScore	MaxFinalScore	MinFinalScore
0	91.164444	51.21731	248.2847	-48.08643	50.0	0.11601319	0.11270408	0.5238905	-0.30543196	22500	-2.0861625e-08	2662.905	-0.017730435	-565.8665	0.91894233	0.009509454	0.1136889	79.0	95.02977061271667	0.028888889	0.12888889	0.11863524	0.16188128	0.034975227	1.6399711	3.1303186	0.01118522	0.522019	0.9964113	0.0035603663	0.15823612	0.26045123	0.04794335
1	97.96902	51.145863	249.20181	-20.600615	50.0	9.450817	0.05161682	9.526295	8.8706875	45000	-4.7683717e-08	2264.99	-0.017329413	-279.22818	0.9170149	0.008241273	0.10875555	79.0	192.58570384979248	0.022222223	0.14222223	0.1202178	0.15974279	0.006789688	1.5708753	3.138073	0.0060207723	0.5000251	0.9988797	0.0019164713	0.15936737	0.23772669	0.013647871
2	103.07384	49.225174	232.05745	-12.952704	50.0	15.050761	0.02335288	15.0803585	14.7206135	67500	-5.736947e-08	2060.7317	-0.019627497	-196.79544	0.9134428	0.0076076435	0.114711106	79.0	284.910667181015	0.022222223	0.12	0.12117854	0.15971024	0.0081594605	1.5762198	3.1409862	0.0071335468	0.5017263	0.99980694	0.0022706785	0.16151147	0.2667677	0.015404451
3	105.17152	47.966766	242.39357	-29.811405	50.0	19.782213	0.016780157	19.801298	19.508696	90000	2.9802323e-09	1850.7344	-0.01920778	-129.00964	0.9084881	0.00994059	0.11511111	79.0	382.59092378616333	0.013333334	0.13777778	0.1206814	0.16001329	0.049983803	1.6106833	3.1376622	0.004038108	0.5126964	0.9987489	0.0012853696	0.16023578	0.25233126	0.071428165
4	110.61341	48.158226	242.7555	6.164611	50.0	23.743702	0.017257381	23.760735	23.366537	112500	-7.450581e-09	1799.9144	-0.02057347	-99.307785	0.9063551	0.00925889	0.12026666	79.0	474.2865574359894	0.028888889	0.1	0.12058098	0.15935504	0.021421554	1.6052284	3.1336963	0.015888635	0.5109601	0.9974865	0.0050575095	0.1598482	0.2124774	0.032400366
5	112.737854	49.247036	245.68495	4.154501	50.0	27.329884	0.018929781	27.3475	26.952164	135000	-1.1175871e-08	1793.9297	-0.01967732	-59.835766	0.90422887	0.0064891824	0.11271111	79.0	565.4874992370605	0.02	0.08444444	0.12267293	0.16074896	0.026558207	1.6645383	3.1415603	0.0052936687	0.52983904	0.99998975	0.0016850271	0.16359279	0.27476004	0.03793727
6	120.718285	47.33211	237.98117	-0.5185577	50.0	30.226017	0.056151513	30.256548	28.186079	157500	-1.7881394e-08	1847.4089	-0.020460878	-84.355774	0.9007742	0.009614876	0.12724444	79.0	659.0486526489258	0.031111112	0.12222222	0.12446634	0.16024472	0.014239611	1.582413	3.1295576	0.0012002493	0.50369763	0.99616915	0.00038205122	0.16559434	0.26062015	0.021933137
7	123.02993	47.306152	254.45348	0.11885933	50.0	32.268806	3.7155244	33.456177	-24.395094	180000	-7.0780515e-09	1763.6321	-0.020819042	-217.73294	0.8972479	0.009193502	0.1317778	79.0	756.865954875946	0.013333334	0.12	0.12548926	0.16074644	0.012518421	1.6011639	3.1312456	0.03010849	0.50966626	0.9967065	0.00958383	0.16776696	0.2526566	0.020979086
8	123.3314	44.519547	253.99881	17.886538	50.0	28.976412	10.6671095	37.291092	-18.640003	202500	-2.9802322e-08	1461.8444	-0.022435578	-158.35695	0.8913843	0.013031384	0.15728888	79.0	848.2504189014435	0.028888889	0.13333334	0.12626167	0.16009833	0.010717452	1.6253169	3.1395469	0.00013682092	0.5173545	0.9993488	4.3551452e-05	0.16808759	0.26140726	0.01840193
9	131.23412	44.29367	243.68929	28.76605	50.0	29.359137	12.976085	41.44087	-14.692219	225000	9.313226e-10	1439.6804	-0.022777505	-151.38422	0.88607657	0.010261474	0.15617779	79.0	938.9042220115662	0.037777778	0.11111111	0.12681386	0.16110945	0.023359701	1.6388623	3.1294096	0.005755755	0.5216661	0.996122	0.0018321138	0.16928822	0.25477314	0.03441689
